distillery_name,profile,brand_name,list_link,detail_link,title_tag,count,title_stat,stat
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,smoke,50,Average score,85.7
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,smoke,50,Ratings,989
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,smoke,50,Reviews,310
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,smoke,50,Likes,8
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,peat,38,Average score,85.7
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,peat,38,Ratings,989
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,peat,38,Reviews,310
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,peat,38,Likes,8
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,vanilla,33,Average score,85.7
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,vanilla,33,Ratings,989
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,vanilla,33,Reviews,310
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,vanilla,33,Likes,8
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,sweet,25,Average score,85.7
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,sweet,25,Ratings,989
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,sweet,25,Reviews,310
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,sweet,25,Likes,8
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,smoke,71,Average score,86.5
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,smoke,71,Ratings,907
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,smoke,71,Reviews,226
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,smoke,71,Likes,6
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,peat,69,Average score,86.5
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,peat,69,Ratings,907
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,peat,69,Reviews,226
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,peat,69,Likes,6
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,pepper,49,Average score,86.5
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,pepper,49,Ratings,907
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,pepper,49,Reviews,226
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,pepper,49,Likes,6
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,salt,31,Average score,86.5
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,salt,31,Ratings,907
